,Share,Increase_Percentage
513,VAKFN,85.27777777777777
514,VKGYO,22.52559726962457
515,VAKVK,NaN
516,VKFYO,341.7518248175183
517,VAKBN,44.21052631578945
519,VAKKO,44.92753623188406
520,VANGD,118.2677165354331
521,VBTYZ,142.78029445073614
522,VERUS,28.757670034862144
523,VERTU,32.68845563709138
524,VESTL,52.451228114057045
525,VESBE,53.11910207939508
526,VKING,11.619047619047606
527,YKBNK,29.518072289156606
529,YAPRK,234.57356996489898
530,YATAS,28.41133487145683
531,YAYLA,72.98578199052133
532,YYLGD,40.65934178767665
533,YGGYO,15.311305590851333
535,YGYO,71.05263157894737
537,YYAPI,NaN
538,YESIL,108.68263473053892
539,YEOTK,NaN
542,YKSLN,31.41025641025641
543,YUNSA,121.54167762457607
544,ZEDUR,123.6703449183781
545,ZRGYO,31.147540983606547
547,ZOREN,-3.373493975903628
