Index,Share,Report_Date
381,PEKGY,2023-03-13 00:00:00
382,PENGD,2023-03-13 00:00:00
383,PENTA,2023-03-10 00:00:00
384,PEGYO,2023-03-01 00:00:00
385,PSDTC,2023-03-01 00:00:00
386,PETKM,2023-03-02 00:00:00
387,PKENT,2023-02-28 00:00:00
388,PETUN,2023-03-01 00:00:00
389,PINSU,2023-03-01 00:00:00
390,PNSUT,2023-03-01 00:00:00
391,PKART,2023-02-06 00:00:00
392,PLTUR,2023-03-13 00:00:00
393,POLHO,2023-03-01 00:00:00
394,POLTK,2023-02-16 00:00:00
395,PRZMA,2023-02-27 00:00:00
396,QNBFL,2023-01-30 00:00:00
397,QNBFB,2023-01-31 00:00:00
398,QNBFB,2023-01-31 00:00:00
399,QUAGR,2023-03-04 00:00:00
400,RNPOL,2023-03-08 00:00:00
401,RALYH,2023-03-08 00:00:00
402,RAYSG,2023-02-28 00:00:00
403,RYGYO,2023-02-20 00:00:00
404,RYGYO,2023-02-20 00:00:00
405,RYSAS,6.03.2023
406,RHEAG,2023-02-28 00:00:00
407,RODRG,2.03.2023
408,ROYAL,2023-04-04 00:00:00
409,RTALB,2023-03-13 00:00:00
410,RUBNS,2023-02-23 00:00:00
411,SAHOL,2023-03-01 00:00:00
412,SAFKR,2023-02-16 00:00:00
414,SANFM,2023-03-03 00:00:00
415,SANKO,2023-04-24 00:00:00
416,SAMAT,2023-03-11 00:00:00
417,SARKY,2023-03-13 00:00:00
418,SASA,2023-03-16 00:00:00
419,SAYAS,2023-03-08 00:00:00
420,SDTTR,2023-02-27 00:00:00
421,SEKUR,2023-03-13 00:00:00
422,SELEC,2023-02-24 00:00:00
423,SELGD,2023-03-03 00:00:00
424,SELVA,2023-03-13 00:00:00
425,SNKRN,2023-02-28 00:00:00
426,SNICA,2023-03-01 00:00:00
427,SRVGY,2023-03-13 00:00:00
428,SRVGY,2023-03-13 00:00:00
429,SEYKM,2023-02-24 00:00:00
430,SILVR,2023-02-27 00:00:00
431,SNGYO,2023-02-03 00:00:00
432,SNGYO,2023-02-03 00:00:00
433,SMRTG,2023-03-09 00:00:00
434,SMART,2023-03-13 00:00:00
435,SODSN,2023-02-28 00:00:00
436,SOKE,2023-02-28 00:00:00
437,SKTAS,2023-03-13 00:00:00
438,SONME,2023-02-24 00:00:00
439,SNPAM,2023-02-24 00:00:00
440,SUMAS,2023-02-28 00:00:00
441,SUNTK,2023-03-12 00:00:00
442,SEKFK,2023-02-24 00:00:00
443,SEGYO,2023-02-21 00:00:00
444,SEGYO,2023-02-21 00:00:00
445,SKBNK,2023-03-01 00:00:00
446,SKBNK,2023-03-01 00:00:00
447,SISE,2023-02-03 00:00:00
448,SUWEN,2023-02-28 00:00:00
449,SOKM,2023-03-10 00:00:00
450,HALKB,2023-02-17 00:00:00
451,HALKB,2023-02-17 00:00:00
452,KLNMA,2023-02-09 00:00:00
453,KLNMA,2023-02-09 00:00:00
456,TSKB,2023-02-01 00:00:00
457,TSKB,2023-02-01 00:00:00
458,TBORG,2023-03-13 00:00:00
459,TNZTP,2023-02-28 00:00:00
460,TATGD,2023-02-08 00:00:00
461,TAVHL,2023-02-14 00:00:00
462,TETMT,13.03.2023
463,TEKTU,2023-03-08 00:00:00
464,TKFEN,2023-03-07 00:00:00
465,TKNSA,2023-02-20 00:00:00
466,TMPOL,2023-03-13 00:00:00
467,TERA,2023-03-10 00:00:00
468,TFNVK,2023-02-08 00:00:00
469,TGSAS,2023-03-06 00:00:00
470,TOASO,2023-02-02 00:00:00
