,Stock,Sector
158,ENKAI,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
159,ENSRI,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
160,ERBOS,İMALAT / ANA METAL SANAYİ
161,ERCB,İMALAT / ANA METAL SANAYİ
162,EREGL,İMALAT / ANA METAL SANAYİ
163,KIMMR,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
164,ERSU,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
165,ESCAR,İDARİ VE DESTEK HİZMET FAALİYETLERİ / KİRALAMA VE LEASING FAALİYETLERİ
166,ESCOM,TEKNOLOJİ / BİLİŞİM
167,ESEN,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
168,ETILR,OTELLER VE LOKANTALAR / YİYECEK VE İÇECEK HİZMETLERİ
169,EUKYO,MALİ KURULUŞLAR / MENKUL KIYMET YATIRIM ORTAKLIKLARI
170,EUYO,MALİ KURULUŞLAR / MENKUL KIYMET YATIRIM ORTAKLIKLARI
171,ETYAT,MALİ KURULUŞLAR / MENKUL KIYMET YATIRIM ORTAKLIKLARI
172,EUHOL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
173,TEZOL,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
174,EUREN,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
175,EUPWR,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
176,EYGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
177,FADE,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
178,FMIZP,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
179,FENER,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / SPOR FAALİYETLERİ EĞLENCE VE OYUN FAALİYETLERİ"
180,FLAP,"İDARİ VE DESTEK HİZMET FAALİYETLERİ / BÜRO YÖNETİMİ, BÜRO DESTEĞİ VE DİĞER ŞİRKET DESTEK FAALİYETLERİ"
181,FONET,TEKNOLOJİ / BİLİŞİM
182,FROTO,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
183,FORMT,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
184,FORTE,TEKNOLOJİ / BİLİŞİM
185,FRIGO,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
186,FZLGY,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
187,GWIND,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
188,GSRAY,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / SPOR FAALİYETLERİ EĞLENCE VE OYUN FAALİYETLERİ"
189,GARFA,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ
190,GRNYO,MALİ KURULUŞLAR / MENKUL KIYMET YATIRIM ORTAKLIKLARI
191,GEDIK,MALİ KURULUŞLAR / ARACI KURUMLAR
192,GEDZA,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
193,GLCVY,MALİ KURULUŞLAR / VARLIK YÖNETİM ŞİRKETLERİ
194,GENIL,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
195,GENTS,İMALAT / ORMAN ÜRÜNLERİ VE MOBİLYA
196,GEREL,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
197,GZNMI,"İDARİ VE DESTEK HİZMET FAALİYETLERİ / SEYAHAT ACENTESİ, TUR OPERATÖRÜ VE DİĞER REZERVASYON HİZMETLERİ İLE İLGİLİ FAALİYETLER"
198,GMTAS,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
199,GESAN,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
200,"GLB, GLBMD",MALİ KURULUŞLAR / ARACI KURUMLAR
201,GLYHO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
202,GOODY,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
203,GOKNR,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
204,GOLTS,İMALAT / TAŞ VE TOPRAĞA DAYALI
205,GOZDE,MALİ KURULUŞLAR / GİRİŞİM SERMAYESİ YATIRIM ORTAKLIKLARI
206,GRTRK,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
207,GSDDE,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
208,GSDHO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
209,GUBRF,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
210,GLRYH,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
211,GRSEL,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
212,SAHOL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
213,HLGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
214,HATEK,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
215,HDFGS,MALİ KURULUŞLAR / GİRİŞİM SERMAYESİ YATIRIM ORTAKLIKLARI
216,HEDEF,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
217,HEKTS,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
218,HKTM,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
219,HTTBT,TEKNOLOJİ / BİLİŞİM
220,HUBVC,MALİ KURULUŞLAR / GİRİŞİM SERMAYESİ YATIRIM ORTAKLIKLARI
221,HUNER,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
222,HURGZ,BİLGİ VE İLETİŞİM / YAYIMCILIK
223,"ICB, ICBCT",MALİ KURULUŞLAR / BANKALAR
224,ICUGS,MALİ KURULUŞLAR / GİRİŞİM SERMAYESİ YATIRIM ORTAKLIKLARI
225,INGRM,TEKNOLOJİ / BİLİŞİM
226,INVEO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
227,INVES,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
228,ISKPL,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
229,IEYHO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
230,IDEAS,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER / HUKUK VE MUHASEBE FAALİYETLERİ"
231,IDGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
232,IHEVA,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
233,IHLGM,GAYRİMENKUL FAALİYETLERİ / GAYRİMENKUL FAALİYETLERİ
234,IHGZT,BİLGİ VE İLETİŞİM / YAYIMCILIK
235,IHAAS,BİLGİ VE İLETİŞİM / BİLGİ HİZMET FAALİYETLERİ
236,IHLAS,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
237,IHYAY,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
238,IMASM,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
239,INDES,TEKNOLOJİ / BİLİŞİM
240,"INFO, IYF",MALİ KURULUŞLAR / ARACI KURUMLAR
241,INTEM,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
242,IPEKE,MADENCİLİK VE TAŞ OCAKÇILIĞI / HAM PETROL VE DOĞAL GAZ ÇIKARTILMASI
243,ISDMR,İMALAT / ANA METAL SANAYİ
244,ISFIN,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ
245,ISGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
246,ISGSY,MALİ KURULUŞLAR / GİRİŞİM SERMAYESİ YATIRIM ORTAKLIKLARI
247,"ISMEN, IYM",MALİ KURULUŞLAR / ARACI KURUMLAR
248,ISYAT,MALİ KURULUŞLAR / MENKUL KIYMET YATIRIM ORTAKLIKLARI
249,ISBIR,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
250,ISSEN,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
251,ITTFH,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
252,IZINV,"TARIM, ORMANCILIK VE BALIKÇILIK / TARIM VE HAYVANCILIK AVCILIK VE İLGİLİ HİZMET FAALİYETLERİ"
253,IZMDC,İMALAT / ANA METAL SANAYİ
254,IZFAS,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
255,JANTS,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
256,KFEIN,TEKNOLOJİ / BİLİŞİM
257,KLKIM,İMALAT / TAŞ VE TOPRAĞA DAYALI
258,KLSER,İMALAT / TAŞ VE TOPRAĞA DAYALI
259,KAPLM,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
260,"KRDMA, KRDMB, KRDMD",İMALAT / ANA METAL SANAYİ
261,KAREL,TEKNOLOJİ / BİLİŞİM
262,KARSN,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
263,KRTEK,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
264,KARYE,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
265,KARTN,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
266,KTLEV,MALİ KURULUŞLAR / FİNANSMAN ŞİRKETLERİ
267,KATMR,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
268,KAYSE,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
269,KENT,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
270,KERVT,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
271,KRVGD,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
272,KERVN,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
273,KZBGY,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
274,KLGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
275,KLRHO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
276,KMPUR,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
277,KLMSN,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
278,KCAER,İMALAT / ANA METAL SANAYİ
279,KCHOL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
280,KLSYN,İMALAT / ORMAN ÜRÜNLERİ VE MOBİLYA
281,KNFRT,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
282,KONTR,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER / MİMARLIK VE MÜHENDİSLİK FAALİYETLERİ; TEKNİK MUAYENE VE ANALİZ"
283,KONYA,İMALAT / TAŞ VE TOPRAĞA DAYALI
284,KONKA,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
285,KGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
